LogicalTGA,SourceClass,ActualPath,Exists,DecodeOK,ActualWidth,ActualHeight,ExpectedWidth,ExpectedHeight,ActualSizeBytes,ExpectedFileSizeKB,SizeOK,DimensionsOK,Status,Error
textures/ui/god minor icon greek artemis.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek artemis.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon greek athena.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek athena.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon greek dionysus.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek dionysus.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon greek hephaestus.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek hephaestus.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon greek hera.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek hera.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon greek hermes.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon greek hermes.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse baldr.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse baldr.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse bragi.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse bragi.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse forseti.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse forseti.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
textures/ui/god minor icon norse freyja.tga,normal,D:\AI_upscaling\AoMEE\extracted\textures\ui\god minor icon norse freyja.tga,True,True,64,64,64,64,16402,16.0,False,True,FAIL,file size mismatch; 
